Sentence,Score
"watched barbie last night, 😳 margot robbie really ate that role 🔥",95.5
"just got taylor swift tickets, 🎤 i'm hyped af 💯",90.2
"new spider-man movie is a banger 🕷️, tom holland is the goat 😎",85.8
"kpop stans are wild af 💀, but their dedication is goals",80.6
"had an iced coffee from starbucks, ☕️ feeling basic af 😂",75.4
"binge watched stranger things, 💯 eleven is such a badass 👁️👄👁️",70.1
"can't believe the finale of euphoria 😭, zendaya snapped 🔥",95.9
"watching mrbeast's new video, 📺 his content is always lit 😎",85.7
"that tiktok dance trend is so catchy 😂, everyone in the squad is doing it 💃",90.5
"just got my hands on the new jordan sneakers 👟, feeling fly af 💀",95.3
omggg this party is lit af 🔥 can't stop dancing 💃,99.8
"I enjoyed the movie a lot, it was quite good 😊",52.3
That presentation was very impressive and well-executed.,32.8
"The weather today is pleasant, and I look forward to a productive day at work.",0.5
"bruh, you seriously ghosted me? 😳 smh 🤦‍♂️",100
"I really liked the concert last night, it was quite fun 😊",64.7
The book I read yesterday was both interesting and informative.,12.3
"I had a nice time at the coffee shop today, the ambiance was great.",40.9
"that new netflix show is a vibe, so addicted 😎",83.5
crying 😭 that meme was too funny 😂💀,99.4
"lol just saw the funniest tiktok, can't stop laughing 😭",91.7
"It was nice meeting you today, let's keep in touch.",22.4
"just got my nails done, they look fire 🔥",72.8
"The food at the restaurant was delicious, and the service was excellent.",36.2
"on my way to coachella, can't wait to see the performances 🎤🔥",86.9
The movie was quite entertaining and had some great moments.,55.6
"saw the latest marvel movie, it was epic af 🕷️😎",94.3
just finished my exam and it was tough af 😩💀,92.3
"your outfit is fire, you really ate that 🔥",94.7
"this song is a banger, can't stop listening to it 🔥🎶",89.6
"bro, your aura is so chill today 😎",85.5
"i'm so tired asl, need a nap 😩",80.9
this weather is hot af 🥵,78.3
"you really snapped with that presentation, well done 💯",90.1
"i'm dead, that joke was hilarious 😂💀",93.5
"can't believe you did that, i'm shook 😳",88.7
"her makeup is on point, she ate 💄",91.4
"i'm crying, that was too funny 😂😭",95
"this party is lit, having so much fun 🔥😎",87.8
"you're acting sus, what's going on? 👀",84.6
"i'm so stressed out rn, need a break 😩🥵",82.1
"that movie was trash, don't recommend it ☠️",79.5
"this place is a vibe, love it here 😎",86.2
"he's ghosting me, so annoying 💀",81.7
"she left me on read, smh 🤦‍♂️",83.9
"i'm hyped for the weekend, can't wait 😎💯",88.4
"just finished my workout, feeling strong af 💪🔥",90.8
"yo, that new drake album is fire af 🔥🔥",100
"omg, this iced coffee is hitting different today ☕️😂",97.8
"you really killed it with that fit, you slay 😎💯",94.5
"just binge watched the whole season, it was a vibe 💯📺",90.2
"can't stop laughing at that meme, i'm dead 💀😂",88.1
"her insta story was goals af, so aesthetic 📸",85.7
"just saw the latest marvel movie, it was epic 😎🕷️",83.3
"that concert was lit, had the best time 🎤🔥",80.9
"need to catch up on some sleep, so tired rn 😴",78.6
"you always know how to make me laugh, you're the best 😁",75.4
"i'm so excited for the weekend, it's gonna be great 🌟",71.2
"feeling productive today, getting so much done 💪",68.9
"the weather is nice today, perfect for a walk 🌞",65.3
"had a good day at work, everything went smoothly 👍",61.7
"just finished reading a great book, highly recommend 📚",58.1
"enjoyed a lovely dinner with friends, good times 🍴",55.6
"took a relaxing walk in the park, feeling refreshed 🌳",52.4
that presentation was quite informative and well-done 💼,49.3
"had a nice chat with an old friend, felt good to catch up 😊",45.8
"the weather is pleasant, planning to go out later 🌤️",41.2
"had a productive day at the office, feeling accomplished 🏢",37.5
"the meal was delicious, enjoyed every bite 🍽️",34.1
"had a relaxing evening at home, watching TV 📺",30.6
feeling happy and content with how the day went 😊,27.2
"had a nice and quiet day, everything was peaceful 🌸",23.8
had a pleasant conversation with a colleague at work 💼,20.1
the day was productive and went by smoothly 👍,16.5
enjoyed reading a book in the evening 📚,13.4
"the weather today is favorable, planning to go outside 🌞",9.7
had a good and fulfilling day at work 🏢,5.3
the day went by without any major issues or concerns 👍,2.1
I completed all my tasks today and had a productive day.,0
"😂 can't believe that tiktok, it's too funny",99.7
"🔥 just got the new iPhone, it's lit",97.5
"that outfit is on point, you really ate that 😎",94.1
"😩 i'm so tired, need a break asap",90.6
"🥵 this heat is unbearable, need some AC",88.3
"💯 you really nailed that project, great job",86.7
"😂 that meme had me crying, so hilarious",83.4
"😎 this party is a vibe, having so much fun",81.9
"omg, just saw the cutest puppy 🐶",79.2
"🥶 it's freezing outside, need a warm drink",76.8
i'm so hyped for the concert tonight 🎤,73.3
"your makeup is flawless, you slay 💄",70.5
"this movie is a must-watch, so good 🍿",68.1
"😳 can't believe you did that, so brave",65.4
"just finished my workout, feeling great 💪",62.9
had the best time at the beach today 🏖️,60.2
